TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,dist2,P_emaildomain,R_emaildomain,C1,C2,C3,C4,C5,C13,C14,D1,D2,D4,D10,D15,M1,M2,M3,M4,M5,M6,id_01,id_02,id_05,id_06,id_19,id_20,DeviceType,DeviceInfo,TransactionDate,TransactionHour,TransactionDayOfWeek
3298822,1,7763403,126.882,C,1976,545.0,185.0,visa,102.0,credit,,,,836.0,gmail.com,gmail.com,47.0,64.0,0.0,10.0,0.0,1.0,0.0,0.0,,310.0,0.0,0.0,,,,M2,,,-5.0,67707.0,0.0,0.0,427.0,556.0,desktop,Windows,2018-02-28 20:30:03,20,Wednesday
3559351,0,15198108,107.95,W,16232,396.0,150.0,mastercard,224.0,debit,315.0,87.0,2.0,,gmail.com,,3.0,3.0,0.0,0.0,1.0,4.0,3.0,61.0,61.0,61.0,61.0,61.0,T,T,T,,,T,,,,,,,,,2018-05-25 21:41:48,21,Friday
3559272,0,15196794,171.0,W,18018,452.0,150.0,mastercard,117.0,debit,264.0,87.0,,,gmail.com,,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,T,T,T,M0,F,F,,,,,,,,,2018-05-25 21:19:54,21,Friday
3297934,0,7746678,159.95,W,11207,361.0,150.0,visa,226.0,debit,330.0,87.0,,,yahoo.com,,4.0,3.0,0.0,0.0,1.0,5.0,4.0,171.0,171.0,0.0,541.0,334.0,,,,,,F,,,,,,,,,2018-02-28 15:51:18,15,Wednesday
2991524,0,166471,59.0,W,16115,431.0,150.0,visa,166.0,debit,143.0,87.0,,,hotmail.com,,3.0,4.0,0.0,0.0,0.0,7.0,3.0,0.0,,476.0,0.0,476.0,,,,M0,F,F,,,,,,,,,2017-12-02 22:14:31,22,Saturday
3361146,0,9321395,117.0,W,7919,194.0,150.0,mastercard,166.0,debit,325.0,87.0,9.0,,gmail.com,,2.0,2.0,0.0,0.0,1.0,3.0,2.0,3.0,3.0,23.0,3.0,23.0,T,T,T,M0,T,F,,,,,,,,,2018-03-18 21:16:35,21,Sunday
3557629,0,15143967,26.95,W,17188,321.0,150.0,visa,226.0,debit,310.0,87.0,11.0,,gmail.com,,4.0,4.0,0.0,0.0,3.0,6.0,3.0,32.0,32.0,32.0,32.0,32.0,T,T,T,,,F,,,,,,,,,2018-05-25 06:39:27,6,Friday
3412296,0,10768046,190.95,W,11162,346.0,150.0,mastercard,224.0,debit,299.0,87.0,,,gmail.com,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,T,T,T,,,F,,,,,,,,,2018-04-04 15:07:26,15,Wednesday
3215154,0,5412830,11.48,C,14276,177.0,185.0,mastercard,137.0,credit,,,,7.0,hotmail.com,hotmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,M0,,,-5.0,151028.0,0.0,0.0,414.0,507.0,desktop,Windows,2018-02-01 15:33:50,15,Thursday
3270909,0,6964587,22.96,C,15885,545.0,185.0,visa,138.0,debit,,,,196.0,outlook.com,outlook.com,4.0,7.0,0.0,2.0,0.0,4.0,3.0,2.0,2.0,342.0,0.0,342.0,,,,M2,,,-5.0,286981.0,-6.0,-6.0,384.0,507.0,desktop,Moto E (4) Build/NMA26.42-19,2018-02-19 14:36:27,14,Monday
3500900,0,13455505,24.5,W,18132,567.0,150.0,mastercard,117.0,debit,272.0,87.0,,,gmail.com,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,M0,F,F,,,,,,,,,2018-05-05 17:38:25,17,Saturday
3223291,0,5593192,164.95,W,15066,170.0,150.0,mastercard,102.0,credit,204.0,87.0,,,gmail.com,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,,,F,,,,,,,,,2018-02-03 17:39:52,17,Saturday
3203718,0,5063271,49.0,W,12469,360.0,150.0,mastercard,166.0,debit,264.0,87.0,217.0,,gmail.com,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,T,T,T,M0,T,T,,,,,,,,,2018-01-28 14:27:51,14,Sunday
3439416,0,11556140,56.99,W,6933,477.0,150.0,mastercard,117.0,debit,204.0,87.0,,,gmail.com,,6.0,5.0,0.0,0.0,0.0,16.0,6.0,0.0,,0.0,314.0,589.0,,,,M1,F,T,,,,,,,,,2018-04-13 18:02:20,18,Friday
3513463,0,13832347,29.757,C,9300,,,,,,,,,,anonymous.com,anonymous.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,M2,,,-5.0,326891.0,0.0,0.0,574.0,595.0,desktop,Windows,2018-05-10 02:19:07,2,Thursday
3128210,0,2911286,3594.95,W,2455,321.0,150.0,visa,226.0,credit,126.0,87.0,7.0,,yahoo.com,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,T,T,F,,,T,,,,,,,,,2018-01-03 16:41:26,16,Wednesday
3184256,0,4464803,77.0,W,8691,599.0,150.0,visa,166.0,debit,327.0,87.0,,,,,4.0,5.0,0.0,0.0,0.0,24.0,3.0,261.0,261.0,,454.0,526.0,,,,M1,F,T,,,,,,,,,2018-01-21 16:13:23,16,Sunday
3344567,0,8867849,79.0,W,1730,369.0,150.0,mastercard,224.0,debit,181.0,87.0,,,yahoo.com,,5.0,2.0,0.0,0.0,0.0,5.0,4.0,115.0,14.0,115.0,115.0,115.0,T,F,F,M0,F,T,,,,,,,,,2018-03-13 15:17:29,15,Tuesday
3400421,0,10438562,35.95,W,4178,555.0,150.0,visa,226.0,debit,498.0,87.0,47.0,,yahoo.com,,7.0,9.0,0.0,0.0,2.0,15.0,6.0,37.0,37.0,123.0,31.0,135.0,T,T,T,,,F,,,,,,,,,2018-03-31 19:36:02,19,Saturday
3522275,0,14087509,34.0,W,13249,111.0,150.0,visa,226.0,debit,264.0,87.0,1680.0,,,,1.0,1.0,0.0,0.0,0.0,9.0,1.0,90.0,90.0,,89.0,88.0,T,T,T,M0,F,F,,,,,,,,,2018-05-13 01:11:49,1,Sunday
3480946,0,12882083,55.0,H,2616,327.0,150.0,discover,102.0,credit,126.0,87.0,,,comcast.net,anonymous.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,0.0,75601.0,0.0,0.0,215.0,489.0,desktop,MacOS,2018-04-29 02:21:23,2,Sunday
3164785,0,3875628,226.0,W,11207,361.0,150.0,visa,226.0,debit,231.0,87.0,134.0,,,,8.0,8.0,0.0,0.0,0.0,135.0,7.0,506.0,506.0,,0.0,478.0,T,T,T,M0,F,T,,,,,,,,,2018-01-14 20:33:48,20,Sunday
3543383,1,14695811,43.343,C,3611,500.0,185.0,mastercard,224.0,credit,,,,,gmail.com,gmail.com,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,M2,,,-20.0,329837.0,0.0,0.0,427.0,507.0,mobile,,2018-05-20 02:10:11,2,Sunday
3172426,0,4128486,59.0,W,10989,360.0,150.0,visa,166.0,debit,204.0,87.0,,,yahoo.com,,1.0,1.0,0.0,0.0,0.0,2.0,1.0,29.0,29.0,29.0,29.0,29.0,,,,M1,T,T,,,,,,,,,2018-01-17 18:48:06,18,Wednesday
3307847,0,7971499,179.95,W,7919,194.0,150.0,mastercard,166.0,debit,177.0,87.0,20.0,,,,5.0,5.0,0.0,0.0,3.0,18.0,5.0,28.0,28.0,,211.0,211.0,T,T,T,,,F,,,,,,,,,2018-03-03 06:18:19,6,Saturday
3079851,0,1914581,70.0,H,16232,396.0,150.0,mastercard,224.0,debit,315.0,87.0,,,sbcglobal.net,gmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,0.0,330365.0,3.0,0.0,442.0,333.0,desktop,Trident/7.0,2017-12-23 03:49:41,3,Saturday
3383683,1,9996365,15.709,C,9387,500.0,185.0,mastercard,197.0,credit,,,,,icloud.com,icloud.com,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,M0,,,-5.0,123994.0,0.0,0.0,266.0,638.0,desktop,Windows,2018-03-26 16:46:05,16,Monday
3042842,0,1293328,113.0,W,12577,268.0,150.0,visa,166.0,debit,330.0,87.0,13.0,,yahoo.com,,1.0,2.0,0.0,0.0,0.0,4.0,1.0,82.0,82.0,83.0,18.0,83.0,T,T,T,M0,T,F,,,,,,,,,2017-12-15 23:15:28,23,Friday
3456226,0,12092931,57.95,W,15497,490.0,150.0,visa,226.0,debit,299.0,87.0,25.0,,,,7.0,9.0,0.0,0.0,5.0,4.0,4.0,19.0,11.0,,11.0,363.0,T,T,T,,,F,,,,,,,,,2018-04-19 23:08:51,23,Thursday
3212710,0,5337945,134.95,W,17254,508.0,150.0,visa,226.0,debit,269.0,87.0,1.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,0.0,0.0,T,T,T,,,T,,,,,,,,,2018-01-31 18:45:45,18,Wednesday
3273694,0,7054876,67.0,W,15066,170.0,150.0,mastercard,102.0,credit,315.0,87.0,10.0,,hotmail.com,,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,92.0,0.0,T,F,F,M0,F,F,,,,,,,,,2018-02-20 15:41:16,15,Tuesday
3109131,0,2401847,117.0,W,13749,321.0,150.0,visa,226.0,credit,123.0,87.0,2.0,,gmail.com,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,407.0,0.0,0.0,T,F,F,M0,T,T,,,,,,,,,2017-12-28 19:10:47,19,Thursday
3377988,0,9821262,68.95,W,15066,170.0,150.0,mastercard,102.0,credit,469.0,87.0,,,yahoo.com,,1.0,1.0,0.0,0.0,1.0,2.0,1.0,19.0,19.0,19.0,19.0,19.0,T,F,F,,,T,,,,,,,,,2018-03-24 16:07:42,16,Saturday
3352121,1,9064464,35.769,C,3154,408.0,185.0,mastercard,224.0,debit,,,,1.0,gmail.com,gmail.com,40.0,56.0,0.0,29.0,0.0,7.0,7.0,91.0,,0.0,0.0,167.0,,,,M2,,,-5.0,283759.0,0.0,0.0,266.0,325.0,mobile,Hisense F23 Build/NRD90M,2018-03-15 21:54:24,21,Thursday
3139867,0,3171884,94.95,W,9500,321.0,150.0,visa,226.0,debit,204.0,87.0,,,,,1.0,1.0,0.0,0.0,1.0,4.0,1.0,46.0,46.0,,46.0,46.0,,,,,,T,,,,,,,,,2018-01-06 17:04:44,17,Saturday
3078445,0,1897397,305.026,C,11201,103.0,185.0,visa,226.0,debit,,,,202.0,hotmail.com,hotmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,M2,,,-5.0,203360.0,0.0,0.0,266.0,507.0,desktop,,2017-12-22 23:03:17,23,Friday
3574311,0,15715662,171.0,W,3470,555.0,150.0,visa,226.0,debit,123.0,87.0,,,gmail.com,,1.0,3.0,0.0,0.0,0.0,5.0,1.0,55.0,55.0,653.0,55.0,55.0,T,F,F,M0,T,T,,,,,,,,,2018-05-31 21:27:42,21,Thursday
3448625,0,11873031,57.95,W,17837,225.0,150.0,visa,195.0,credit,269.0,87.0,,,yahoo.com,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,424.0,0.0,424.0,T,T,T,,,F,,,,,,,,,2018-04-17 10:03:51,10,Tuesday
3035155,0,1134713,94.499,C,5812,408.0,185.0,mastercard,224.0,debit,161.0,60.0,,0.0,hotmail.com,hotmail.com,3.0,10.0,0.0,2.0,0.0,6.0,3.0,314.0,314.0,326.0,0.0,326.0,,,,M2,,,0.0,492162.0,0.0,0.0,153.0,325.0,desktop,Trident/7.0,2017-12-14 03:11:53,3,Thursday
3285732,0,7393551,117.0,W,16632,215.0,150.0,mastercard,229.0,debit,330.0,87.0,42.0,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,0.0,T,T,T,M0,F,F,,,,,,,,,2018-02-24 13:45:51,13,Saturday
3146588,1,3355975,226.0,W,4272,111.0,150.0,visa,226.0,debit,299.0,87.0,91.0,,outlook.com,,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,T,F,F,M0,T,F,,,,,,,,,2018-01-08 20:12:55,20,Monday
3356427,0,9197301,511.95,W,6530,206.0,150.0,mastercard,126.0,debit,327.0,87.0,199.0,,aol.com,,4.0,3.0,0.0,0.0,3.0,8.0,4.0,11.0,11.0,152.0,152.0,152.0,T,T,T,,,F,,,,,,,,,2018-03-17 10:48:21,10,Saturday
3352470,0,9069985,507.95,W,6550,,150.0,visa,226.0,debit,441.0,87.0,3.0,,gmail.com,,165.0,143.0,0.0,0.0,113.0,504.0,129.0,18.0,,286.0,286.0,286.0,T,T,T,,,T,,,,,,,,,2018-03-15 23:26:25,23,Thursday
3101205,0,2222253,20.0,H,12695,490.0,150.0,visa,226.0,debit,126.0,87.0,,,gmail.com,yahoo.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,-15.0,,,,,,,,2017-12-26 17:17:33,17,Tuesday
3287859,0,7427043,10.271,C,16136,204.0,185.0,visa,138.0,debit,,,,,gmail.com,gmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,M2,,,,,,,,,,,2018-02-24 23:04:03,23,Saturday
3521728,0,14078155,226.0,W,2157,111.0,150.0,visa,226.0,debit,272.0,87.0,2.0,,yahoo.com,,2.0,1.0,0.0,0.0,0.0,19.0,2.0,213.0,213.0,136.0,213.0,213.0,T,T,T,M0,T,,,,,,,,,,2018-05-12 22:35:55,22,Saturday
3349152,0,8979893,102.0,W,1335,302.0,150.0,visa,226.0,debit,205.0,87.0,32.0,,gmail.com,,1.0,2.0,0.0,0.0,0.0,19.0,1.0,258.0,258.0,258.0,258.0,258.0,T,T,T,M0,T,F,,,,,,,,,2018-03-14 22:24:53,22,Wednesday
3130832,0,2950803,171.0,W,16050,555.0,150.0,mastercard,117.0,debit,194.0,87.0,,,hotmail.com,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,496.0,,,,M1,F,F,,,,,,,,,2018-01-04 03:40:03,3,Thursday
3456653,0,12102713,59.0,W,8406,264.0,150.0,visa,226.0,debit,272.0,87.0,,,gmail.com,,1.0,1.0,0.0,0.0,0.0,2.0,1.0,22.0,22.0,610.0,610.0,610.0,T,F,F,M1,F,T,,,,,,,,,2018-04-20 01:51:53,1,Friday
3002872,0,428745,75.0,R,1724,583.0,150.0,visa,226.0,credit,299.0,87.0,,,sbcglobal.net,sbcglobal.net,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,-5.0,89753.0,0.0,0.0,312.0,222.0,desktop,Windows,2017-12-05 23:05:45,23,Tuesday
3334699,0,8559761,52.0,W,11233,321.0,150.0,visa,195.0,debit,433.0,87.0,3.0,,gmail.com,,3.0,2.0,0.0,0.0,0.0,4.0,3.0,151.0,151.0,479.0,422.0,150.0,T,T,F,M1,T,F,,,,,,,,,2018-03-10 01:42:41,1,Saturday
3397398,0,10364595,229.93,W,6590,110.0,150.0,visa,138.0,credit,220.0,87.0,2229.0,,,,1.0,2.0,0.0,0.0,2.0,9.0,1.0,545.0,545.0,,169.0,545.0,T,T,T,,,F,,,,,,,,,2018-03-30 23:03:15,23,Friday
3080447,1,1944117,200.0,H,12340,555.0,150.0,visa,226.0,debit,337.0,87.0,,2.0,gmail.com,gmail.com,17.0,19.0,0.0,12.0,0.0,6.0,5.0,1.0,,,,,,,,,,,0.0,156488.0,10.0,-21.0,620.0,333.0,mobile,iOS Device,2017-12-23 12:01:57,12,Saturday
3191522,0,4673896,335.0,W,7875,314.0,150.0,mastercard,224.0,debit,299.0,87.0,,,sbcglobal.net,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,M0,F,T,,,,,,,,,2018-01-24 02:18:16,2,Wednesday
3198665,0,4910735,75.0,R,6952,416.0,150.0,visa,226.0,debit,498.0,87.0,,,gmail.com,comcast.net,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,-5.0,452387.0,0.0,0.0,542.0,214.0,mobile,SAMSUNG SM-G955U Build/NRD90M,2018-01-26 20:05:35,20,Friday
3267057,0,6817613,59.0,W,11306,200.0,150.0,visa,226.0,debit,264.0,87.0,,,gmail.com,,2.0,5.0,0.0,0.0,0.0,10.0,2.0,61.0,60.0,45.0,0.0,441.0,,,,M0,T,F,,,,,,,,,2018-02-17 21:46:53,21,Saturday
3394719,1,10289168,27.189,C,15885,545.0,185.0,visa,138.0,debit,,,,97.0,gmail.com,gmail.com,6.0,10.0,0.0,2.0,0.0,1.0,1.0,0.0,,343.0,0.0,300.0,,,,M2,,,-35.0,132213.0,0.0,0.0,290.0,315.0,desktop,Windows,2018-03-30 02:06:08,2,Friday
3218851,0,5501994,117.0,W,9500,321.0,150.0,visa,226.0,debit,177.0,87.0,,,,,1.0,1.0,0.0,0.0,0.0,2.0,1.0,68.0,68.0,,68.0,68.0,,,,M1,F,F,,,,,,,,,2018-02-02 16:19:54,16,Friday
3184332,0,4466709,108.95,W,18335,555.0,150.0,visa,226.0,debit,191.0,87.0,194.0,,gmail.com,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,T,F,F,,,F,,,,,,,,,2018-01-21 16:45:09,16,Sunday
3458618,0,12175009,13.0,W,10476,,143.0,visa,226.0,credit,325.0,87.0,8.0,,gmail.com,,6.0,1.0,0.0,0.0,0.0,20.0,4.0,21.0,,417.0,417.0,198.0,T,F,F,M0,T,F,,,,,,,,,2018-04-20 21:56:49,21,Friday
3520351,0,14057007,108.5,W,12695,490.0,150.0,visa,226.0,debit,325.0,87.0,,,gmail.com,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,T,T,T,M0,F,T,,,,,,,,,2018-05-12 16:43:27,16,Saturday
3171345,0,4081020,97.0,W,2616,,150.0,discover,102.0,credit,204.0,87.0,,,anonymous.com,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,M0,T,T,,,,,,,,,2018-01-17 05:37:00,5,Wednesday
3472116,0,12620408,15.37,C,9917,142.0,185.0,visa,138.0,debit,,,,,gmail.com,gmail.com,4.0,4.0,0.0,3.0,0.0,3.0,3.0,0.0,,129.0,0.0,0.0,,,,M2,,,-5.0,67573.0,0.0,-5.0,290.0,565.0,desktop,Windows,2018-04-26 01:40:08,1,Thursday
3336712,0,8625972,390.0,W,16632,215.0,150.0,mastercard,229.0,debit,310.0,87.0,35.0,,yahoo.com,,3.0,2.0,0.0,0.0,0.0,6.0,2.0,17.0,17.0,84.0,90.0,84.0,T,T,T,M0,T,F,,,,,,,,,2018-03-10 20:06:12,20,Saturday
3041578,0,1278460,200.0,H,11839,490.0,150.0,visa,226.0,debit,203.0,87.0,,,gmail.com,gmail.com,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,67842.0,10.0,-20.0,108.0,222.0,desktop,Windows,2017-12-15 19:07:40,19,Friday
3040036,1,1258247,589.0,W,8695,170.0,150.0,visa,226.0,credit,181.0,87.0,9.0,,yahoo.com,,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,,3.0,3.0,3.0,T,T,T,M0,F,T,,,,,,,,,2017-12-15 13:30:47,13,Friday
3566241,0,15441271,59.0,W,4387,276.0,150.0,visa,226.0,debit,191.0,87.0,,,aol.com,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,T,T,T,M0,T,T,,,,,,,,,2018-05-28 17:14:31,17,Monday
3130140,0,2938044,56.5,W,12583,404.0,150.0,mastercard,102.0,credit,126.0,87.0,2.0,,hotmail.com,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,386.0,386.0,386.0,T,T,T,M1,F,T,,,,,,,,,2018-01-04 00:07:24,0,Thursday
3035497,0,1147357,44.774,C,15885,545.0,185.0,visa,138.0,debit,,,,,gmail.com,gmail.com,1838.0,2353.0,0.0,1127.0,0.0,1647.0,757.0,393.0,393.0,393.0,,355.0,,,,M2,,,0.0,72231.0,1.0,-33.0,417.0,507.0,mobile,Moto E (4) Plus Build/NMA26.42-69,2017-12-14 06:42:37,6,Thursday
3175575,0,4215818,39.061,C,7949,142.0,185.0,visa,226.0,credit,,,,,hotmail.com,hotmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,M2,,,-5.0,143328.0,0.0,0.0,290.0,401.0,mobile,Moto G (4) Build/NPJS25.93-14-13,2018-01-18 19:03:38,19,Thursday
3537472,1,14531313,28.834,C,9026,545.0,185.0,visa,137.0,credit,,,,,hotmail.com,hotmail.com,12.0,16.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,M2,,,-60.0,476835.0,0.0,-8.0,271.0,507.0,mobile,CAM-L03 Build/HUAWEICAM-L03,2018-05-18 04:28:33,4,Friday
2988583,0,135985,20.0,W,7166,435.0,150.0,visa,226.0,debit,476.0,87.0,12.0,,gmail.com,,2.0,2.0,0.0,0.0,0.0,25.0,2.0,238.0,238.0,275.0,238.0,238.0,T,T,T,M0,T,F,,,,,,,,,2017-12-02 13:46:25,13,Saturday
3178745,0,4304926,49.0,W,10057,225.0,150.0,mastercard,224.0,debit,181.0,87.0,,,anonymous.com,,1.0,1.0,0.0,0.0,0.0,2.0,1.0,21.0,21.0,21.0,21.0,21.0,,,,M0,T,T,,,,,,,,,2018-01-19 19:48:46,19,Friday
3354807,1,9143916,171.0,W,16661,490.0,150.0,visa,226.0,debit,327.0,87.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,T,T,T,M0,F,F,,,,,,,,,2018-03-16 19:58:36,19,Friday
3101567,0,2225182,50.0,H,4463,555.0,150.0,visa,226.0,debit,231.0,87.0,,,yahoo.com,gmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,0.0,56336.0,0.0,0.0,542.0,107.0,mobile,SM-T280 Build/LMY47V,2017-12-26 18:06:22,18,Tuesday
2990491,0,155997,39.0,W,3178,490.0,150.0,visa,226.0,debit,205.0,87.0,,,,,1.0,1.0,0.0,0.0,0.0,2.0,1.0,151.0,151.0,,151.0,169.0,,,,M0,T,,,,,,,,,,2017-12-02 19:19:57,19,Saturday
3405218,0,10568099,141.95,W,7919,194.0,150.0,mastercard,166.0,debit,299.0,87.0,11.0,,gmail.com,,3.0,1.0,0.0,0.0,2.0,14.0,3.0,84.0,84.0,540.0,500.0,540.0,T,T,T,,,F,,,,,,,,,2018-04-02 07:34:59,7,Monday
3170684,0,4062335,108.5,W,2255,359.0,150.0,visa,226.0,debit,272.0,87.0,,,gmail.com,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,M0,T,F,,,,,,,,,2018-01-17 00:25:35,0,Wednesday
